1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,6,7,8,6,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,13,14,11,15,16,17,18,19,20,21,22,23,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,27,28,21,11,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,31,32,33,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,42,43,44,45,46,47,48,49,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,51,52,4,51,53,54,55,56,24,57,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,60,39,45,61,4,27,62,63,45,46,47,45,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,65,66,43,67,68,11,69,70,71,43,31,72,73,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,11,75,76,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,77,43,63,78,11,79,80,45,4,2,81,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,85,86,87,39,88,4,81,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,77,4,90,91,4,81,82,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,2,93,94,66,11,95,96,43,11,79,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,99,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,100,4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,33,4,2,101,78,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,4,2,101,78,104,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
