42,3,3,33,33,3,3,3,3,33,3,0,0,0,0,
3,42,5,3,0,0,0,0,0,0,0,0,0,0,0,
3,3,3,3,42,0,0,0,0,0,0,0,0,0,0,
6,42,9,6,3,3,9,3,3,9,3,3,0,0,0,
6,42,3,6,3,3,3,6,0,0,0,0,0,0,0,
15,21,42,3,3,21,3,3,3,0,0,0,0,0,0,
6,3,6,6,42,9,6,9,0,0,0,0,0,0,0,
9,9,9,42,15,15,15,9,0,0,0,0,0,0,0,
6,6,27,21,42,6,16,6,16,4,21,27,27,21,0,
3,2,3,3,42,21,21,21,21,21,21,2,0,0,0,
3,3,42,0,0,0,0,0,0,0,0,0,0,0,0,
42,2,3,2,21,21,3,0,0,0,0,0,0,0,0,
42,1,21,21,1,0,0,0,0,0,0,0,0,0,0,
9,9,42,9,12,12,12,12,9,12,0,0,0,0,0,
3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,15,3,21,3,0,0,0,0,0,0,0,0,0,0,
42,1,21,21,1,3,21,3,21,21,21,22,0,0,0,
42,1,3,3,3,1,0,0,0,0,0,0,0,0,0,
9,42,9,3,3,9,9,12,12,12,9,9,12,9,0,
12,12,42,3,12,21,20,20,21,3,0,0,0,0,0,
3,3,6,6,6,3,6,42,3,3,6,0,0,0,0,
3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,42,9,9,21,21,9,9,6,6,9,6,0,0,0,
9,9,9,42,3,3,9,0,0,0,0,0,0,0,0,
3,3,42,12,3,12,3,3,15,15,12,0,0,0,0,
42,2,2,2,3,2,2,0,0,0,0,0,0,0,0,
3,15,15,15,15,3,42,0,0,0,0,0,0,0,0,
30,42,3,3,30,30,9,9,9,30,2,9,2,0,0,
6,42,3,3,6,0,0,0,0,0,0,0,0,0,0,
42,12,27,12,0,0,0,0,0,0,0,0,0,0,0,
42,3,3,12,0,0,0,0,0,0,0,0,0,0,0,
42,27,27,0,0,0,0,0,0,0,0,0,0,0,0,
9,9,15,21,21,9,9,9,42,0,0,0,0,0,0,
3,3,2,42,2,5,0,0,0,0,0,0,0,0,0,
30,30,42,30,30,21,21,10,30,3,3,30,9,30,9,
30,30,3,30,30,42,3,22,22,15,22,30,0,0,0,
21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,3,3,42,9,3,3,9,0,0,0,0,0,0,
30,3,30,42,3,30,0,0,0,0,0,0,0,0,0,
3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,12,42,12,12,3,12,5,3,0,0,0,0,0,0,
3,2,42,3,3,2,3,3,6,2,3,3,15,6,0,
